hotel_name,district,address,city,property_type,verification_status,source_authority,source_url,last_source_review,hotel_name_ar,hotel_name_en,bilingual_name_method
فندق أنوار المدينة موفنبيك,المنطقة المركزية الشمالية,طريق الملك فهد، مقابل المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أنوار المدينة موفنبيك,Anwar Al Madinah Mövenpick Hotel,OTA/brand matched
فندق المدينة هيلتون,المنطقة المركزية الشمالية,طريق الملك فهد، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق المدينة هيلتون,Madinah Hilton,OTA/brand matched
فندق دار التقوى,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح، أمام المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار التقوى,Dar Al Taqwa Hotel,OTA/brand matched
فندق دلة طيبة,المنطقة المركزية الشمالية,شارع أبي ذر، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دلة طيبة,Dallah Taibah Hotel,OTA/brand matched
فندق سوفيتيل شهد المدينة,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق سوفيتيل شهد المدينة,Sofitel Shahd Al Madinah,OTA/brand matched
فندق إنتركونتيننتال دار الإيمان,المنطقة المركزية الشمالية,المنطقة المركزية، مقابل المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إنتركونتيننتال دار الإيمان,InterContinental Dar Al Iman Madinah by IHG,OTA/brand matched
فندق إنتركونتيننتال دار الهجرة,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إنتركونتيننتال دار الهجرة,InterContinental Dar Al Hijra Madinah by IHG,OTA/brand matched
فندق أوبروي المدينة,المنطقة المركزية الشمالية,شارع أبي ذر، شمال المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أوبروي المدينة,"The Oberoi, Madina",OTA/brand matched
فندق فرونتيل الحارثية,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق فرونتيل الحارثية,Frontel Al Harithia Hotel,OTA/brand matched
فندق إعمار رويال المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إعمار رويال المدينة,Emaar Royal Hotel Al Madina,OTA/brand matched
