nationality,recommended_recipe_1,recommended_recipe_2,recommended_recipe_3,recommended_recipe_4,recommended_recipe_5,note
أفغانستان,برياني دجاج هندي,دجاج بالكاري,تشانا مسالا,روتي وخضار,باراثا وبيض,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
ألبانيا,أرز أوزي تركي,شوربة عدس تركية,كباب تركي مشوي,سارما ورق محشي,مانتي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
ألمانيا,دجاج مشوي بالبطاطس والأعشاب,مكرونة بالدجاج,سمك مشوي وأرز,شوربة خضار,ساندويتش دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
أوزبكستان,أرز أوزبكي بلوف,مانتي,لاجمان لحم,سامسا أوزبكية,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
إثيوبيا,إنجيرا يخنة دجاج,دورو وات مع إنجيرا,أرز صومالي بالدجاج,دجاج مشوي وأرز,خضار مشكلة وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
إندونيسيا,ناسي غورينغ,ساتاي دجاج,ناسي ليماك,أرز إندونيسي بالدجاج,نودلز دجاج بالخضار,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الأردن,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الإمارات العربية المتحدة,كبسة دجاج سعودية,مجبوس دجاج خليجي,هريس دجاج خليجي,صالونة دجاج خليجية,بالاليط خليجي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
البحرين,كبسة دجاج سعودية,مجبوس دجاج خليجي,هريس دجاج خليجي,صالونة دجاج خليجية,بالاليط خليجي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
البوسنة والهرسك,أرز أوزي تركي,شوربة عدس تركية,كباب تركي مشوي,سارما ورق محشي,مانتي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الجزائر,كسكس بالخضار واللحم,طاجن دجاج,شوربة حريرة,مقرونة تونسية بالدجاج,مكرونة مبكبكة,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
السنغال,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
السودان,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الصومال,إنجيرا يخنة دجاج,دورو وات مع إنجيرا,أرز صومالي بالدجاج,دجاج مشوي وأرز,خضار مشكلة وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الصين,دجاج حلو وحامض,جياوزي دجاج وخضار,نودلز صينية بالخضار,أرز مقلي بالروبيان,خضار مشكلة وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
العراق,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الفلبين,ناسي غورينغ,ساتاي دجاج,ناسي ليماك,أرز إندونيسي بالدجاج,نودلز دجاج بالخضار,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الكاميرون,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الكويت,كبسة دجاج سعودية,مجبوس دجاج خليجي,هريس دجاج خليجي,صالونة دجاج خليجية,بالاليط خليجي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
المالديف,برياني دجاج هندي,دجاج بالكاري,تشانا مسالا,روتي وخضار,باراثا وبيض,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
المغرب,كسكس بالخضار واللحم,طاجن دجاج,شوربة حريرة,مقرونة تونسية بالدجاج,مكرونة مبكبكة,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
المملكة المتحدة,دجاج مشوي بالبطاطس والأعشاب,مكرونة بالدجاج,سمك مشوي وأرز,شوربة خضار,ساندويتش دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
النيجر,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
الهند,برياني دجاج هندي,دجاج بالكاري,تشانا مسالا,روتي وخضار,باراثا وبيض,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
اليمن,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
باكستان,برياني دجاج هندي,دجاج بالكاري,تشانا مسالا,روتي وخضار,باراثا وبيض,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
