hotel_name,district,address,city,property_type,verification_status,source_authority,source_url,last_source_review
فندق أنوار المدينة موفنبيك,المنطقة المركزية الشمالية,طريق الملك فهد، مقابل المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق المدينة هيلتون,المنطقة المركزية الشمالية,طريق الملك فهد، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار التقوى,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح، أمام المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دلة طيبة,المنطقة المركزية الشمالية,شارع أبي ذر، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق سوفيتيل شهد المدينة,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إنتركونتيننتال دار الإيمان,المنطقة المركزية الشمالية,المنطقة المركزية، مقابل المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إنتركونتيننتال دار الهجرة,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أوبروي المدينة,المنطقة المركزية الشمالية,شارع أبي ذر، شمال المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق فرونتيل الحارثية,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إعمار رويال المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
