hotel_name,district,address,city,source_status,booking_search_url,expedia_search_url,agoda_search_url,official_license
فندق أنوار المدينة موفنبيك,المنطقة المركزية الشمالية,طريق الملك فهد، مقابل المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق المدينة هيلتون,المنطقة المركزية الشمالية,طريق الملك فهد، قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار التقوى,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح، أمام المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دلة طيبة,المنطقة المركزية الشمالية,شارع أبي ذر، قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق سوفيتيل شهد المدينة,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إنتركونتيننتال دار الإيمان,المنطقة المركزية الشمالية,المنطقة المركزية، مقابل المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إنتركونتيننتال دار الهجرة,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أوبروي المدينة,المنطقة المركزية الشمالية,شارع أبي ذر، شمال المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق فرونتيل الحارثية,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إعمار رويال المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق نزل رويال إن,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق شذا المدينة,المنطقة المركزية الشمالية,قرب المسجد النبوي، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق مادن المدينة,المنطقة المركزية الشمالية,المنطقة المركزية، قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أودست المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق زوار إنترناشيونال,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أجنحة طيبة أراك,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار النعيم,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق جراند بلازا بدر المقام,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق جراند بلازا المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق حياة إنترناشيونال,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أجنحة طيبة فرونت,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق بلاتينيوم المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق نزل الشاكرين,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق طيبة فرونت,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق المدينة أراك,المنطقة المركزية الشمالية,المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إيلاف طيبة,المنطقة المركزية الغربية,شارع سعد بن معاذ، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق سجى المدينة,المنطقة المركزية الغربية,طريق الملك فيصل، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إعمار إيليت المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق العقيق المدينة,المنطقة المركزية الغربية,شارع مصعب بن عمير، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ميلينيوم العقيق,المنطقة المركزية الغربية,طريق مصعب بن عمير، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق البسفور المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق جولدن توليب المكتان,المنطقة المركزية الغربية,طريق السلام، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق رؤى الهجرة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق الماسة المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق روضة العقيق,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق بلنسية المدينة,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق البسفور بلس,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار الإيمان النور,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق كراون بلازا المدينة,المنطقة المركزية الجنوبية,طريق الملك فيصل، جنوب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق بولمان زمزم المدينة,المنطقة المركزية الجنوبية,شارع عمرو بن الجموح، قرب باب السلام,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق نيو المدينة,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق منازل الأسواف,المنطقة المركزية الجنوبية,طريق الملك عبدالعزيز، جنوب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق روتانا المسك,المنطقة المركزية الجنوبية,جنوب غرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
