hotel_name_ar,hotel_name_en,city,district,zone_type,proximity_band,central_map_number,central_sector,distance_to_haram_km,verification_status,source_authority,source_url,source_map_edition,source_notes,name_method,source_catalogue
فندق 8 بوينتس السلام 1,8Points Hotel - El Salam 1,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق 8 بوينتس السلام 2,8Points Hotel - Al Salam 2,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق أبراج المارزام,Abraj Almarzam Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أبراج طابة,Abraj Taba Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,166,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
أبراج طابة الفضي,Abraj Taba Al Fdy Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,333,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
أجنحة الروضة الفاخرة,Suites Al Rawda Al Fakhra,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,116,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
أجنحة الريحان,Al Rayhan Suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق أجنحة الصفوة طيبة,Hotel Ajnihat Safwa Taiba,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق أجنحة المها,Al Maha Suites,المدينة المنورة,العزيزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
أجنحة اليا رومس و,Al Alya Hotel Rooms and Suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق أجنحة جادة قباء,Jadah Quba Suites,المدينة المنورة,قباء,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
أجنحة حسناء,Hasana Suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أجنحة حفاوة,Hafawah Suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أجنحة رواق,Rawaq suites hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
اجنحه طابه السكنيه,Tabba Residential suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,Bilingual source row,OTA400
فندق أجنحة طيبة أراك,Taiba Arac Suites,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق أجنحة طيبة فرونت,Taiba Front Suites,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
أجنحة عبدالعزيز,AbdulAziz Suites Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Booking.com Madinah directory,https://www.booking.com/city/sa/medina.en-gb.html,,,OTA English + standardized Arabic,OTA400
أجنحة لفيف ( البدرانى ),( ) Lafif Apartments (Al Badrani),المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,Bilingual source row,OTA400
أجنحة لفيف ( السلام ),( ) Lafif Apartments (Al Salam),المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,Bilingual source row,OTA400
أجنحة مكارم الحرم فيو المدينة,Makarem Haram View Suites - Madinah,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أجنحة مكارم بورج المدينة,Makarem Burj Al Madinah Hotel and Suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أجنحة نور الراقية,Nour Al Raqia Suites,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق أحد هيل,Ouhd Hill Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق أرتال طيبة,Artal Taibah Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أرجوان الذهبي,Arjwan Golden Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,256,200,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
أرجوان السعادة,Arjwan Al Saadah Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,212,200,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
